client_name,supplier_name,proposal_status,award_status,create_date,project_id,project_name,servicestandard,project_location,project_status,seniority_standard,seniority_level,rate,currency,analysis_days,concept_days,implementation_days,audit_days,total_days,rate_total,proposal_total,supp_perc,supp_total,man_days
ABB Asea Brown Boveri Ltd,Simon-Kucher,0,submitted,2019-03-13,790,PG Pricing,"Marketing, Brands & Pricing",Sweden,completed,Partner,6,4200.0,CHF,5.0,0.0,,,5.0,21000.0,109704.0,,,41.0
ABB Asea Brown Boveri Ltd,Simon-Kucher,0,submitted,2019-03-13,790,PG Pricing,"Marketing, Brands & Pricing",Sweden,completed,Director,5,3136.0,CHF,12.0,0.0,,,12.0,37632.0,109704.0,,,41.0
ABB Asea Brown Boveri Ltd,Simon-Kucher,0,submitted,2019-03-13,790,PG Pricing,"Marketing, Brands & Pricing",Sweden,completed,Senior Consultant,3,2128.0,CHF,24.0,0.0,,,24.0,51072.0,109704.0,,,41.0
ABB Asea Brown Boveri Ltd,Batten & Company,1,lost,2019-03-13,790,PG Pricing,"Marketing, Brands & Pricing",Sweden,completed,Manager,4,2000.0,CHF,34.0,12.0,,,46.0,92000.0,350200.0,0.0,0.0,212.0
ABB Asea Brown Boveri Ltd,accenture,1,lost,2019-03-13,790,PG Pricing,"Marketing, Brands & Pricing",Sweden,completed,Partner,6,4988.0,CHF,2.0,0.0,,,2.0,9976.0,387581.0,0.0,0.0,153.0
ABB Asea Brown Boveri Ltd,accenture,1,lost,2019-03-13,790,PG Pricing,"Marketing, Brands & Pricing",Sweden,completed,Director,5,3989.0,CHF,8.0,0.0,,,8.0,31912.0,387581.0,0.0,0.0,153.0
ABB Asea Brown Boveri Ltd,accenture,1,lost,2019-03-13,790,PG Pricing,"Marketing, Brands & Pricing",Sweden,completed,Senior Consultant,3,2548.0,CHF,45.0,0.0,,,45.0,114660.0,387581.0,0.0,0.0,153.0
ABB Asea Brown Boveri Ltd,accenture,1,lost,2019-03-13,790,PG Pricing,"Marketing, Brands & Pricing",Sweden,completed,Director,5,2796.0,CHF,8.0,0.0,,,8.0,22368.0,387581.0,0.0,0.0,153.0
ABB Asea Brown Boveri Ltd,accenture,1,lost,2019-03-13,790,PG Pricing,"Marketing, Brands & Pricing",Sweden,completed,Analyst,1,1646.0,CHF,45.0,0.0,,,45.0,74070.0,387581.0,0.0,0.0,153.0
ABB Asea Brown Boveri Ltd,accenture,1,lost,2019-03-13,790,PG Pricing,"Marketing, Brands & Pricing",Sweden,completed,Manager,4,2991.0,CHF,45.0,0.0,,,45.0,134595.0,387581.0,0.0,0.0,153.0
ABB Asea Brown Boveri Ltd,Batten & Company,1,lost,2019-03-13,790,PG Pricing,"Marketing, Brands & Pricing",Sweden,completed,Analyst,1,1300.0,CHF,60.0,20.0,,,80.0,104000.0,350200.0,0.0,0.0,212.0
ABB Asea Brown Boveri Ltd,Batten & Company,1,lost,2019-03-13,790,PG Pricing,"Marketing, Brands & Pricing",Sweden,completed,Senior Consultant,3,1700.0,CHF,56.0,20.0,,,76.0,129200.0,350200.0,0.0,0.0,212.0
ABB Asea Brown Boveri Ltd,Batten & Company,1,lost,2019-03-13,790,PG Pricing,"Marketing, Brands & Pricing",Sweden,completed,Director,5,2500.0,CHF,5.0,5.0,,,10.0,25000.0,350200.0,0.0,0.0,212.0
ABB Asea Brown Boveri Ltd,Simon-Kucher,1,awarded,2019-03-13,790,PG Pricing,"Marketing, Brands & Pricing",Sweden,completed,Partner,6,4200.0,CHF,5.0,0.0,,,5.0,21000.0,109704.0,0.0,0.0,41.0
ABB Asea Brown Boveri Ltd,Simon-Kucher,1,awarded,2019-03-13,790,PG Pricing,"Marketing, Brands & Pricing",Sweden,completed,Director,5,3136.0,CHF,12.0,0.0,,,12.0,37632.0,109704.0,0.0,0.0,41.0
ABB Asea Brown Boveri Ltd,Simon-Kucher,1,awarded,2019-03-13,790,PG Pricing,"Marketing, Brands & Pricing",Sweden,completed,Senior Consultant,3,2128.0,CHF,24.0,0.0,,,24.0,51072.0,109704.0,0.0,0.0,41.0
Siemens AG,KPMG,1,submitted,2019-04-23,817,Change management for the new Business Unit GP EPC,Change Management & Transformation,Germany,cancelled,Partner,6,3000.0,EUR,1.0,1.0,1.0,,3.0,9000.0,420600.0,12.0,50472.0,278.0
Siemens AG,KPMG,1,submitted,2019-04-23,817,Change management for the new Business Unit GP EPC,Change Management & Transformation,Germany,cancelled,Director,5,2000.0,EUR,4.0,5.0,11.0,,20.0,40000.0,420600.0,12.0,50472.0,278.0
Siemens AG,KPMG,1,submitted,2019-04-23,817,Change management for the new Business Unit GP EPC,Change Management & Transformation,Germany,cancelled,Manager,4,3000.0,EUR,0.0,0.0,0.0,,0.0,0.0,420600.0,12.0,50472.0,278.0
Siemens AG,KPMG,1,submitted,2019-04-23,817,Change management for the new Business Unit GP EPC,Change Management & Transformation,Germany,cancelled,Partner,6,3000.0,EUR,1.0,2.0,1.0,,4.0,12000.0,420600.0,12.0,50472.0,278.0
Siemens AG,KPMG,1,submitted,2019-04-23,817,Change management for the new Business Unit GP EPC,Change Management & Transformation,Germany,cancelled,Director,5,2200.0,EUR,6.0,4.0,11.0,,21.0,46200.0,420600.0,12.0,50472.0,278.0
Siemens AG,KPMG,1,submitted,2019-04-23,817,Change management for the new Business Unit GP EPC,Change Management & Transformation,Germany,cancelled,Consultant,2,1200.0,EUR,11.0,6.0,27.0,,44.0,52800.0,420600.0,12.0,50472.0,278.0
Siemens AG,KPMG,1,submitted,2019-04-23,817,Change management for the new Business Unit GP EPC,Change Management & Transformation,Germany,cancelled,Consultant,2,1600.0,EUR,15.0,27.0,1.0,,43.0,68800.0,420600.0,12.0,50472.0,278.0
Siemens AG,KPMG,1,submitted,2019-04-23,817,Change management for the new Business Unit GP EPC,Change Management & Transformation,Germany,cancelled,Senior Consultant,3,2200.0,EUR,1.0,1.0,0.0,,2.0,4400.0,420600.0,12.0,50472.0,278.0
Siemens AG,KPMG,1,submitted,2019-04-23,817,Change management for the new Business Unit GP EPC,Change Management & Transformation,Germany,cancelled,Senior Consultant,3,2200.0,EUR,5.0,8.0,0.0,,13.0,28600.0,420600.0,12.0,50472.0,278.0
Siemens AG,KPMG,1,submitted,2019-04-23,817,Change management for the new Business Unit GP EPC,Change Management & Transformation,Germany,cancelled,Consultant,2,1200.0,EUR,10.0,6.0,0.0,,16.0,19200.0,420600.0,12.0,50472.0,278.0
Siemens AG,KPMG,1,submitted,2019-04-23,817,Change management for the new Business Unit GP EPC,Change Management & Transformation,Germany,cancelled,Consultant,2,1200.0,EUR,0.0,84.0,0.0,,84.0,100800.0,420600.0,12.0,50472.0,278.0
Siemens AG,KPMG,1,submitted,2019-04-23,817,Change management for the new Business Unit GP EPC,Change Management & Transformation,Germany,cancelled,Consultant,2,1600.0,EUR,7.0,6.0,0.0,,13.0,20800.0,420600.0,12.0,50472.0,278.0
Siemens AG,KPMG,1,submitted,2019-04-23,817,Change management for the new Business Unit GP EPC,Change Management & Transformation,Germany,cancelled,Consultant,2,1200.0,EUR,0.0,0.0,15.0,,15.0,18000.0,420600.0,12.0,50472.0,278.0
